brand,model,car_name,price,year,hand_num,horse_power,4x4,fuel_type,engine_volume,valid_test,magnesium_wheels,distance_control,economical,adaptive_cruise_control,cruise_control,brand_normalized,brand_group
Mazda,CX-5,Mazda CX-5,90700.0,2017,1,192.0,1,petrol,2.5,1,1,0,0,0,0,mazda,Other
Ora,Funky Cat,Ora / Ora Funky Cat,121000.0,2023,1,171.0,0,electric,,0,0,0,0,0,0,ora,Other
Mitsubishi,Atrage,Mitsubishi Atrage,24000.0,2015,2,80.0,0,petrol,1.2,1,1,0,0,0,0,mitsubishi,Other
Ford,Focus,Ford Focus,11500.0,2013,2,125.0,0,petrol,1.6,1,0,0,0,0,0,ford,Other
Nissan,Qashqai,Nissan Qashqai,55000.0,2016,3,115.0,0,petrol,1.2,0,1,1,0,0,0,nissan,Budget
Mitsubishi,Outlander,Mitsubishi Outlander,64000.0,2014,1,150.0,0,petrol,2.0,1,1,0,0,0,0,mitsubishi,Other
Suzuki,SX4,Suzuki SX4,29500.0,2014,2,119.0,0,petrol,1.6,1,1,0,0,0,0,suzuki,Budget
Chevrolet,Equinox,Chevrolet Equinox,85000.0,2018,2,170.0,0,electric,1.5,0,1,1,0,0,0,chevrolet,Budget
Mercedes,C-Class,Mercedes C-Class,230000.0,2020,2,211.0,0,hybrid,2.0,0,0,1,0,1,1,mercedes,Luxury
Honda,Civic Hybrid,Honda Civic Hybrid,12000.0,2008,3,115.0,0,hybrid,1.3,0,1,0,0,0,0,honda,Budget
Renault,Clio,Renault Clio 4th generation (2013-2019),25000.0,2015,3,120.0,0,petrol,1.2,1,0,0,0,0,0,renault,Budget
Jeep,Grand Cherokee,Jeep / Jeep Grand Cherokee,224500.0,2021,2,286.0,1,petrol,3.6,0,1,0,0,1,1,jeep,Other
Toyota,Land Cruiser Pardo,Toyota Land Cruiser Pardo short,55000.0,2000,2,125.0,1,diesel,3.0,1,1,0,0,0,0,toyota,Budget
Renault,Capture,Renault Capture,25300.0,2014,3,120.0,0,petrol,1.2,0,1,0,1,0,0,renault,Budget
Fiat,500,Fiat 500,12950.0,2010,3,69.0,0,petrol,1.2,1,0,0,0,0,0,fiat,Budget
Toyota,Corolla Hybrid,Toyota Corolla Hybrid,118500.0,2021,2,122.0,0,petrol,1.8,0,1,0,0,1,1,toyota,Budget
Mazda,5,Mazda 5,52000.0,2016,2,145.0,0,petrol,2.0,1,0,0,0,0,0,mazda,Other
Volvo,S90,Volvo S90,185000.0,2020,1,250.0,0,petrol,2.0,0,1,0,1,1,1,volvo,Other
GMC,GMC HUMMER EV,GMC / GMC HUMMER EV,20000.0,2024,0,850.0,0,electric,,1,0,0,0,0,0,gmc,Other
BYD,ATTO 3,BYD ATTO 3,166500.0,2024,1,204.0,0,electric,,0,1,1,1,0,0,byd,Other
BMW,1 Series,BMW 1 Series,89000.0,2019,3,136.0,0,petrol,1.5,1,0,1,1,0,0,bmw,Luxury
Mazda,3,Mazda 3,64900.0,2018,2,165.0,0,petrol,2.0,1,1,0,1,0,0,mazda,Other
Toyota,Corolla,Toyota Corolla TS Station,87000.0,2020,1,98.0,0,hybrid,1.8,0,1,0,1,0,0,toyota,Budget
Skoda,Superb,Skoda Superb (until 2019),24000.0,2011,5,160.0,0,petrol,1.8,0,0,0,0,0,0,skoda,Budget
Skoda,Superb,Skoda Superb (until 2019),54000.0,2015,2,150.0,0,petrol,1.4,0,1,1,0,1,1,skoda,Budget
Peugeot,3008,Peugeot 3008,79900.0,2019,1,130.0,0,petrol,1.2,0,1,1,1,0,0,peugeot,Other
Nissan,Micra,Nissan Micra,23400.0,2013,0,80.0,0,petrol,1.2,1,0,0,0,0,0,nissan,Budget
Hyundai,iX35,Hyundai iX35,39900.0,2011,3,163.0,0,petrol,2.0,1,1,0,0,0,0,hyundai,Budget
